epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1914.85,0.77151,0.36762,0.78084,0.8628,0.73177,0.79869,0.56153,0.78725,0.40917,0.78918,0.000594125,0.000594125,0.000594125
55,1951.44,0.76802,0.3607,0.78272,0.89238,0.75491,0.81561,0.57297,0.78398,0.39845,0.78776,0.00058175,0.00058175,0.00058175
56,1987.92,0.73767,0.34912,0.78194,0.96228,0.68244,0.80935,0.5706,0.75398,0.37475,0.78721,0.000569375,0.000569375,0.000569375
57,2024.56,0.75181,0.35053,0.78006,0.86348,0.76438,0.80797,0.56722,0.77732,0.39478,0.78778,0.000557,0.000557,0.000557
58,2061.32,0.74878,0.35013,0.77877,0.82718,0.71617,0.77094,0.5501,0.76773,0.3872,0.787,0.000544625,0.000544625,0.000544625
59,2098.2,0.75022,0.3515,0.7786,0.89584,0.73548,0.79469,0.54013,0.79127,0.40435,0.78702,0.00053225,0.00053225,0.00053225
60,2137.12,0.75145,0.34975,0.77773,0.89457,0.73671,0.816,0.57806,0.75105,0.38989,0.78426,0.000519875,0.000519875,0.000519875
61,2174.36,0.7441,0.34722,0.77923,0.92772,0.69514,0.79839,0.55952,0.77936,0.42028,0.78508,0.0005075,0.0005075,0.0005075
62,2211.12,0.74456,0.34932,0.77871,0.9538,0.73255,0.81489,0.58741,0.74735,0.38705,0.78471,0.000495125,0.000495125,0.000495125
63,2253.11,0.74184,0.34366,0.78173,0.90635,0.73148,0.81071,0.56129,0.78151,0.4075,0.78686,0.00048275,0.00048275,0.00048275
64,2289.6,0.71495,0.34058,0.77823,0.88713,0.75801,0.81819,0.57796,0.76014,0.37251,0.78547,0.000470375,0.000470375,0.000470375
65,2326.05,0.71462,0.33787,0.77811,0.86345,0.75387,0.81516,0.56352,0.75063,0.37882,0.78567,0.000458,0.000458,0.000458
66,2362.4,0.71938,0.33805,0.77773,0.84957,0.72707,0.80664,0.57662,0.75761,0.37615,0.78538,0.000445625,0.000445625,0.000445625
67,2398.81,0.71156,0.33788,0.77915,0.9513,0.7291,0.81534,0.56371,0.77379,0.38554,0.78557,0.00043325,0.00043325,0.00043325
68,2435.08,0.7028,0.33401,0.77886,0.90891,0.73061,0.82965,0.57614,0.75643,0.38775,0.78545,0.000420875,0.000420875,0.000420875
69,2471.72,0.72724,0.34375,0.77823,0.93689,0.72619,0.826,0.57601,0.75559,0.38035,0.78542,0.0004085,0.0004085,0.0004085
70,2507.71,0.70126,0.33427,0.78015,0.9087,0.71012,0.81389,0.56409,0.78174,0.39326,0.78826,0.000396125,0.000396125,0.000396125
71,2543.85,0.70072,0.3293,0.77688,0.90702,0.74398,0.8159,0.5732,0.75139,0.37421,0.78483,0.00038375,0.00038375,0.00038375
72,2579.96,0.68284,0.31979,0.77813,0.89475,0.71867,0.8165,0.57737,0.74061,0.36846,0.78508,0.000371375,0.000371375,0.000371375
73,2616.16,0.67987,0.32001,0.77825,0.86028,0.72969,0.81697,0.58028,0.73438,0.36888,0.78467,0.000359,0.000359,0.000359
74,2652.46,0.69105,0.32298,0.77695,0.91132,0.73536,0.82057,0.57463,0.76638,0.37841,0.78524,0.000346625,0.000346625,0.000346625
75,2688.59,0.6899,0.32374,0.7766,0.93264,0.73681,0.83196,0.57956,0.76733,0.37299,0.78496,0.00033425,0.00033425,0.00033425
76,2724.7,0.68119,0.31887,0.77751,0.9369,0.7382,0.83649,0.58731,0.75087,0.36686,0.78558,0.000321875,0.000321875,0.000321875
77,2760.86,0.6633,0.3133,0.77542,0.90989,0.75793,0.84361,0.59399,0.74823,0.36956,0.78409,0.0003095,0.0003095,0.0003095
78,2802.27,0.67859,0.31752,0.77702,0.92073,0.73599,0.83235,0.58492,0.76873,0.36505,0.78516,0.000297125,0.000297125,0.000297125
79,2839.05,0.67053,0.31558,0.77575,0.85786,0.74619,0.82599,0.5852,0.75956,0.36922,0.7855,0.00028475,0.00028475,0.00028475
80,2875.15,0.6802,0.32122,0.77673,0.86625,0.7432,0.80687,0.57145,0.74398,0.37148,0.78458,0.000272375,0.000272375,0.000272375
81,2911.74,0.66971,0.31115,0.77569,0.83058,0.72263,0.81487,0.57432,0.74713,0.37192,0.78471,0.00026,0.00026,0.00026
82,2948.07,0.65325,0.30407,0.77636,0.8364,0.75563,0.82436,0.58474,0.76329,0.38218,0.78608,0.000247625,0.000247625,0.000247625
83,2985.04,0.65157,0.30485,0.77606,0.8566,0.76944,0.8404,0.60061,0.73439,0.37006,0.78411,0.00023525,0.00023525,0.00023525
84,3027.37,0.64444,0.30243,0.77532,0.85423,0.76888,0.82929,0.58925,0.74428,0.37068,0.78526,0.000222875,0.000222875,0.000222875
85,3063.64,0.63809,0.29827,0.77651,0.84696,0.76459,0.83257,0.585,0.72703,0.36594,0.78382,0.0002105,0.0002105,0.0002105
86,3099.97,0.63407,0.29548,0.77307,0.84132,0.74995,0.82337,0.57992,0.73669,0.36419,0.78446,0.000198125,0.000198125,0.000198125
87,3136.5,0.62641,0.29513,0.77412,0.8731,0.76983,0.84166,0.59505,0.76013,0.37034,0.78611,0.00018575,0.00018575,0.00018575
88,3174.06,0.63174,0.29559,0.77198,0.8787,0.76141,0.82903,0.58875,0.73992,0.36359,0.78497,0.000173375,0.000173375,0.000173375
89,3210.72,0.61279,0.29174,0.77191,0.86656,0.72282,0.83487,0.58945,0.73809,0.37365,0.78568,0.000161,0.000161,0.000161
90,3248.17,0.63016,0.29272,0.77518,0.88155,0.76126,0.83417,0.59971,0.72982,0.35995,0.78347,0.000148625,0.000148625,0.000148625
91,3286.6,0.59098,0.28553,0.77222,0.88025,0.75565,0.83606,0.59471,0.75426,0.37624,0.78574,0.00013625,0.00013625,0.00013625
92,3324.86,0.5814,0.28492,0.77072,0.91593,0.75748,0.8298,0.58604,0.74875,0.36423,0.78433,0.000123875,0.000123875,0.000123875
93,3364.65,0.57664,0.28338,0.76893,0.89924,0.74872,0.8225,0.57896,0.73426,0.36523,0.78569,0.0001115,0.0001115,0.0001115
94,3401.03,0.56699,0.28003,0.77114,0.92944,0.75432,0.82936,0.58397,0.73862,0.35867,0.78499,9.9125e-05,9.9125e-05,9.9125e-05
95,3438.02,0.56739,0.27708,0.77229,0.92342,0.75388,0.82433,0.58676,0.74142,0.36289,0.78548,8.675e-05,8.675e-05,8.675e-05
96,3474.57,0.55454,0.27264,0.77226,0.92019,0.75045,0.8327,0.58061,0.7438,0.36268,0.78537,7.4375e-05,7.4375e-05,7.4375e-05
97,3511.06,0.55424,0.26899,0.77347,0.91034,0.7518,0.83453,0.5832,0.73979,0.35572,0.78465,6.2e-05,6.2e-05,6.2e-05
98,3547.79,0.5516,0.26969,0.76755,0.89162,0.76496,0.84137,0.59942,0.72564,0.36007,0.78432,4.9625e-05,4.9625e-05,4.9625e-05
99,3584.11,0.55055,0.27082,0.77242,0.95779,0.73624,0.83375,0.58685,0.73598,0.36346,0.7846,3.725e-05,3.725e-05,3.725e-05
100,3620.4,0.54345,0.2677,0.76934,0.9211,0.75236,0.83709,0.58979,0.74249,0.36455,0.78505,2.4875e-05,2.4875e-05,2.4875e-05
